"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2012","87.83","89.28","89.55","87.83","2.08M","-1.83%"
"05/03/2012","89.47","89.83","90.08","89.23","1.46M","-0.68%"
"05/02/2012","90.08","89.71","90.29","89.71","2.00M","-0.52%"
"05/01/2012","90.55","90.61","91.02","90.16","1.63M","0.01%"
"04/30/2012","90.54","91.10","91.10","90.46","1.15M","-0.83%"
"04/27/2012","91.30","92.08","92.09","91.20","1.47M","-0.44%"
"04/26/2012","91.70","91.41","92.24","91.11","1.98M","0.79%"
"04/25/2012","90.98","91.74","91.89","90.62","1.84M","-0.16%"
"04/24/2012","91.13","90.63","91.29","90.53","1.29M","0.66%"
"04/23/2012","90.53","89.99","90.74","89.94","1.41M","-0.34%"
"04/20/2012","90.84","90.45","91.24","90.32","1.12M","0.55%"
"04/19/2012","90.34","90.70","90.97","90.03","1.50M","-0.03%"
"04/18/2012","90.37","90.29","90.77","89.93","946.77K","-0.25%"
"04/17/2012","90.60","89.54","90.78","89.03","1.37M","1.15%"
"04/16/2012","89.57","89.55","89.80","89.08","2.81M","0.30%"
"04/13/2012","89.30","89.93","90.58","89.29","1.48M","-0.96%"
"04/12/2012","90.17","88.80","90.41","88.70","1.47M","1.90%"
"04/11/2012","88.49","88.37","88.95","88.23","1.39M","0.94%"
"04/10/2012","87.67","88.50","88.64","87.67","1.44M","-1.21%"
"04/09/2012","88.74","89.36","89.36","88.71","1.33M","-1.56%"
"04/05/2012","90.15","90.04","90.77","89.83","1.81M","-0.21%"
"04/04/2012","90.34","90.86","90.95","90.26","1.63M","-0.80%"
"04/03/2012","91.07","91.02","91.42","90.65","1.26M","-0.10%"
"04/02/2012","91.16","89.41","91.61","89.41","1.68M","1.45%"
"03/30/2012","89.86","90.00","90.16","89.60","1.28M","0.26%"
"03/29/2012","89.63","89.47","89.69","88.83","1.33M","-0.07%"
"03/28/2012","89.69","90.78","91.08","89.32","1.35M","-1.28%"
"03/27/2012","90.85","90.64","91.09","90.55","1.12M","0.23%"
"03/26/2012","90.64","90.23","90.77","90.09","1.34M","0.97%"
"03/23/2012","89.77","89.60","89.88","89.20","1.03M","0.41%"
"03/22/2012","89.40","89.12","89.66","88.84","1.41M","-0.06%"
"03/21/2012","89.45","89.31","89.72","89.26","1.29M","0.12%"
"03/20/2012","89.34","89.29","89.56","88.64","1.36M","-0.25%"
"03/19/2012","89.56","88.92","89.69","88.89","899.98K","0.27%"
"03/16/2012","89.32","90.30","90.50","89.25","2.12M","-1.09%"
"03/15/2012","90.30","90.40","90.68","89.93","1.38M","-0.13%"
"03/14/2012","90.42","89.86","91.01","89.78","2.04M","0.86%"
"03/13/2012","89.65","89.38","89.71","88.80","1.63M","0.73%"
"03/12/2012","89.00","88.71","89.29","88.62","1.11M","0.10%"
"03/09/2012","88.91","88.82","89.12","88.22","1.18M","0.60%"
"03/08/2012","88.38","88.57","89.00","88.26","1.16M","0.48%"
"03/07/2012","87.96","87.81","88.07","87.41","1.28M","0.21%"
"03/06/2012","87.78","87.98","88.84","87.68","1.44M","-1.01%"
"03/05/2012","88.68","89.02","89.08","88.56","1.46M","0.20%"
"03/02/2012","88.50","88.40","89.05","88.30","1.33M","0.15%"
"03/01/2012","88.37","88.61","88.97","88.14","1.61M","-0.05%"
"02/29/2012","88.41","88.88","89.31","88.39","2.83M","-0.33%"
"02/28/2012","88.70","88.85","88.86","88.00","1.87M","-0.79%"
"02/27/2012","89.41","89.52","90.00","89.08","2.90M","-0.13%"
"02/24/2012","89.53","88.48","90.15","88.40","7.28M","1.40%"
"02/23/2012","88.29","87.81","88.39","87.57","7.43M","0.76%"
"02/22/2012","87.62","87.34","88.09","87.26","1.24M","0.54%"
"02/21/2012","87.15","87.86","87.90","86.79","1.74M","-0.95%"
"02/17/2012","87.99","86.72","88.31","86.62","2.73M","1.84%"
"02/16/2012","86.40","86.85","87.21","86.06","2.30M","-0.61%"
"02/15/2012","86.93","87.68","87.92","86.77","3.47M","-1.72%"
"02/14/2012","88.45","87.73","88.55","87.66","1.68M","0.25%"
"02/13/2012","88.23","87.64","88.25","86.98","2.58M","0.82%"
"02/10/2012","87.51","87.13","87.72","87.00","1.93M","-0.57%"
"02/09/2012","88.01","87.66","88.07","87.40","2.86M","0.42%"
"02/08/2012","87.64","86.57","87.71","86.14","3.39M","1.17%"
"02/07/2012","86.63","85.00","86.64","85.00","2.87M","1.62%"
"02/06/2012","85.25","84.38","85.40","84.34","2.03M","0.78%"
"02/03/2012","84.59","83.41","84.73","83.25","3.37M","1.71%"
"02/02/2012","83.17","83.56","83.70","82.90","1.30M","-0.42%"
"02/01/2012","83.52","82.54","83.72","82.26","2.11M","1.46%"
"01/31/2012","82.32","82.20","82.40","81.70","2.88M","0.38%"
"01/30/2012","82.01","81.32","82.13","81.29","3.11M","-0.01%"
"01/27/2012","82.02","82.00","82.55","81.66","1.95M","-0.55%"
"01/26/2012","82.47","82.47","82.95","81.29","2.73M","0.91%"
"01/25/2012","81.73","82.04","82.27","81.25","2.42M","-0.62%"
"01/24/2012","82.24","82.55","82.81","82.12","1.14M","-0.36%"
"01/23/2012","82.54","82.83","82.86","81.90","1.72M","-0.29%"
"01/20/2012","82.78","83.15","83.44","82.54","2.46M","-1.11%"
"01/19/2012","83.71","82.25","83.71","81.85","1.96M","1.74%"
"01/18/2012","82.28","81.59","82.28","81.34","1.16M","0.78%"
"01/17/2012","81.64","82.05","82.10","81.35","1.95M","0.15%"
"01/13/2012","81.52","81.16","81.53","80.80","1.48M","-0.21%"
"01/12/2012","81.69","81.12","81.77","80.76","1.82M","1.13%"
"01/11/2012","80.78","80.49","81.13","80.49","1.25M","0.20%"
"01/10/2012","80.62","80.63","81.20","80.36","1.85M","0.72%"
"01/09/2012","80.04","80.35","80.35","79.76","1.86M","0.08%"
"01/06/2012","79.98","80.41","80.41","79.65","4.27M","-0.11%"
"01/05/2012","80.07","80.66","80.68","79.05","2.62M","-1.04%"
"01/04/2012","80.91","80.95","81.45","80.37","2.24M","-1.35%"
"01/03/2012","82.02","82.12","82.99","81.77","2.27M","1.38%"
"12/30/2011","80.90","81.65","81.86","80.86","1.47M","-0.76%"
"12/29/2011","81.52","80.96","81.74","80.88","1.12M","0.72%"
"12/28/2011","80.94","81.68","81.78","80.85","840.38K","-0.47%"
"12/27/2011","81.32","81.33","81.66","80.94","1.48M","-0.11%"
"12/23/2011","81.41","81.00","81.46","80.67","1.93M","0.74%"
"12/22/2011","80.81","79.82","81.03","79.63","2.79M","1.48%"
"12/21/2011","79.63","78.45","79.69","78.02","1.82M","1.40%"
"12/20/2011","78.53","77.94","78.87","77.83","1.75M","2.23%"
"12/19/2011","76.82","77.28","77.69","76.60","1.39M","-0.36%"
"12/16/2011","77.10","77.62","77.88","76.32","4.22M","0.23%"
"12/15/2011","76.92","77.07","77.52","76.76","1.97M","0.83%"
"12/14/2011","76.29","76.72","76.87","76.02","1.44M","-0.57%"
"12/13/2011","76.73","77.38","77.77","76.46","1.64M","-0.21%"
"12/12/2011","76.89","77.44","77.47","76.40","1.45M","-0.68%"
"12/09/2011","77.42","77.05","77.70","77.02","1.24M","1.18%"
"12/08/2011","76.52","77.47","77.65","76.42","1.80M","-1.35%"
"12/07/2011","77.57","77.94","78.05","77.37","2.09M","-0.44%"
"12/06/2011","77.91","77.80","78.49","77.62","1.50M","-0.26%"
"12/05/2011","78.11","78.56","78.66","77.60","2.53M","0.37%"
"12/02/2011","77.82","79.55","79.80","77.23","2.42M","-1.47%"
"12/01/2011","78.98","78.14","79.49","78.11","1.90M","1.06%"
"11/30/2011","78.15","78.03","78.86","77.73","3.00M","2.14%"
"11/29/2011","76.51","77.29","77.29","76.35","2.65M","-1.91%"
"11/28/2011","78.00","76.81","78.00","76.00","5.89M","3.46%"
"11/25/2011","75.39","74.02","76.23","74.00","2.00M","1.95%"
"11/23/2011","73.95","73.76","74.57","73.55","2.48M","-0.70%"
"11/22/2011","74.47","74.51","74.94","73.57","2.30M","-0.03%"
"11/21/2011","74.49","74.16","74.89","72.37","8.53M","-0.81%"
"11/18/2011","75.10","75.60","75.72","74.94","6.63M","-0.08%"
"11/17/2011","75.16","75.75","75.98","74.39","2.89M","-1.01%"
"11/16/2011","75.93","77.09","77.32","75.77","2.37M","-2.47%"
"11/15/2011","77.85","77.12","78.14","77.01","1.41M","0.65%"
"11/14/2011","77.35","77.33","77.95","77.23","1.50M","-0.09%"
"11/11/2011","77.42","76.94","77.81","76.78","1.73M","1.69%"
"11/10/2011","76.13","77.30","77.40","75.77","2.61M","-1.07%"
"11/09/2011","76.95","77.02","77.53","76.56","2.77M","-1.84%"
"11/08/2011","78.39","78.42","78.87","77.54","2.21M","0.17%"
"11/07/2011","78.26","76.43","78.42","75.96","2.54M","2.27%"
"11/04/2011","76.52","75.53","76.52","74.74","2.94M","0.57%"
"11/03/2011","76.09","75.16","76.21","74.60","1.41M","2.11%"
"11/02/2011","74.52","74.73","75.29","74.33","1.97M","0.72%"
"11/01/2011","73.99","74.56","75.06","73.48","2.71M","-2.52%"
"10/31/2011","75.90","75.28","77.00","75.09","3.27M","0.62%"
"10/28/2011","75.43","75.72","76.69","75.06","2.25M","-0.29%"
"10/27/2011","75.65","78.02","78.30","75.22","3.16M","-0.92%"
"10/26/2011","76.35","78.94","78.94","75.64","4.41M","-3.22%"
"10/25/2011","78.89","78.66","79.90","78.05","3.27M","0.20%"
"10/24/2011","78.73","77.39","78.86","76.57","2.21M","1.72%"
"10/21/2011","77.40","76.41","77.40","75.64","2.12M","2.25%"
"10/20/2011","75.70","75.75","76.05","74.81","1.37M","0.30%"
"10/19/2011","75.47","75.90","76.68","75.21","1.23M","-0.67%"
"10/18/2011","75.98","74.80","76.42","74.23","1.96M","1.69%"
"10/17/2011","74.72","75.75","76.45","74.56","2.48M","-1.67%"
"10/14/2011","75.99","77.01","77.10","75.73","1.74M","-0.55%"
"10/13/2011","76.41","75.90","76.59","75.28","1.14M","0.37%"
"10/12/2011","76.13","76.63","76.92","75.96","1.44M","-0.25%"
"10/11/2011","76.32","75.46","76.60","75.46","1.60M","0.75%"
"10/10/2011","75.75","75.24","75.81","74.51","1.54M","2.36%"
"10/07/2011","74.00","73.60","74.80","73.08","2.39M","1.19%"
"10/06/2011","73.13","72.27","73.73","72.11","2.15M","0.88%"
"10/05/2011","72.49","73.10","73.77","71.97","2.97M","-0.29%"
"10/04/2011","72.70","70.45","72.76","70.37","2.25M","2.16%"
"10/03/2011","71.16","72.58","73.29","71.11","2.72M","-2.04%"
"09/30/2011","72.64","71.69","73.40","71.53","3.35M","0.21%"
"09/29/2011","72.49","74.25","74.39","71.00","3.62M","-1.13%"
"09/28/2011","73.32","74.30","74.92","73.24","1.83M","-1.28%"
"09/27/2011","74.27","75.17","75.23","73.71","2.93M","0.66%"
"09/26/2011","73.78","72.98","73.80","72.19","4.82M","2.34%"
"09/23/2011","72.09","73.48","74.72","71.74","4.78M","-1.44%"
"09/22/2011","73.14","70.87","74.21","70.77","5.40M","0.67%"
"09/21/2011","72.65","75.47","75.73","72.65","4.05M","-3.70%"
"09/20/2011","75.44","76.94","76.99","75.32","3.06M","-1.63%"
"09/19/2011","76.69","75.06","77.04","74.84","3.55M","0.87%"
"09/16/2011","76.03","75.28","76.21","74.51","4.10M","0.78%"
"09/15/2011","75.44","73.76","75.50","73.76","2.04M","2.53%"
"09/14/2011","73.58","73.07","74.50","72.61","2.81M","1.20%"
